{X 117.3348, Y -23.2349, Z -272.2564, A 0, B 0,  C 0}, grFeedrate 3000}
{X 92.8209, Y -23.2349, Z -272.2564, A 0, B 0,  C 0}, grFeedrate 3000}
{X 89.8209, Y -23.2349, Z -272.2564, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -23.2397, Z -274.2564, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -20.3279, Z -281.3345, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -13.2639, Z -284.2805, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 37.4537, Z -284.4031, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 40.3055, Z -284.9841, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 42.7107, Z -286.6226, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 44.2392, Z -288.9269, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 44.8121, Z -291.6321, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 45.3809, Z -319.8493, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 45.6965, Z -320.9147, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 46.5115, Z -321.6700, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 52.6190, Z -324.5921, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 85.6438, Z -324.9777, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 88.7352, Z -325.6397, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 91.3274, Z -327.4495, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 92.9044, Z -329.8505, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 93.5297, Z -332.6543, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 94.1993, Z -350.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
